a	/ei/	art.一(个);每一(个);(同类事物中)任一个\r
chief	/tʃi:f/	a.主要的,首要的n.首领,领袖\r
child	/tʃaild/	n.(/pl./children)小孩,儿童,儿女\r
childhood	/'tʃaildhud/	n.幼年,童年\r
chill	/tʃil/	n.寒冷,寒气,寒战v.使寒冷\r
chimney	/'tʃimni/	n.烟囱\r
chin	/tʃin/	n.下巴,颏\r
china	/ˈtʃaɪnə/	n.瓷器\r
chip	/tʃip/	n.切屑,碎片;(土豆等的)薄片;集成电路块\r
chocolate	/'tʃɔkəlit/	n.巧克力(糖),赭色\r
choice	/tʃɔis/	n.选择(机会),抉择,选择项;入选者a.精选的\r
choke	/tʃəuk/	v.窒息,噎住;闷塞,堵塞,阻塞\r
choose	/tʃu:z/	v.选择,挑选;甘愿\r
chop	/tʃɔp/	v.砍,劈,斩n.排骨,肉块\r
chorus	/'kɔ:rəs/	n.合唱队;合唱v.异口同声地说,随声附和\r
Christ	/kraɪst/	n.基督,救世主,耶稣\r
Christian	/ˈkrɪstʃən/	n.基督教徒a.基督教徒的\r
Christmas	/ˈkrɪsməs/	n．圣诞节\r
chronic	/'krɔnik/	a.(疾病)慢性的;积习难改的;严重的,坏的\r
church	/tʃə:tʃ/	n.教堂;教会,教派;（宗教的）礼拜仪式\r
cigar	/si'ɡɑ:/	n.雪茄烟\r
cigaret	/,siɡə'ret,'siɡ-/	n.(cigarette)香烟,纸烟,卷烟\r
cinema	/'sinəmə/	n.电影院;电影,影片\r
circle	/'sə:kl/	n.圆,圆周;集团;周期,循环v.环绕,旋转\r
circuit	/'sə:kit/	n.环行,周线,巡回;电路,线路\r
circular	/'sə:kjulə/	a.圆(形)的,环形的;循环的n.传单,通报\r
circulate	/'sə:kjuleit/	v.(使)循环,(使)流通\r
circumference	/sə'kʌmfərəns/	n.圆周,周围,胸围\r
circus	/'sə:kəs/	n.马戏团,杂技团;马戏场,杂技场\r
cite	/sait/	v.引用,引证,举(例)\r
citizen	/'sitizən/	n.公民;市民,居民\r
city	/'siti/	n．城市;都市;市\r
civil	/'sivəl/	a.公民的,市民的;民间的;民用的;有礼貌的\r
civilian	/si'viljən/	n.平民a.平民的;民用的\r
civilization	/,sivilai'zeiʃən,-li'z-/	n.(=civilisation)文明,文化\r
civilize	/'sivilaiz/	v.(=civilise)使文明,开化\r
claim	/kleim/	v.要求;声称;索赔n.要求;断言;索赔;权利\r
clap	/klæp/	v.拍手,拍,轻拍n.拍(手),掌声,霹雳声\r
clarify	/'klærifai/	v.澄清,阐明\r
clarity	/'klærəti/	n.清晰,明晰\r
clash	/klæʃ/	v./n.碰撞n.碰撞声\r
clasp	/klɑ:sp,klæsp/	n.扣子,钩子;握手v.扣住,钩住;紧握,紧抱\r
class	/klɑ:s,klæs/	n.班级,年级;种类,等级,阶级;(一节)课\r
classic	/'klæsik/	n.(pl.)杰作,名著a.第一流的,不朽的\r
classical	/'klæsikəl/	a.经典的,古典(文学)的\r
classification	/,klæsifi'keiʃən/	n.分类,分级\r
classify	/'klæsifai/	v.分类,分等(级)\r
classmate	/'klɑ:smeit/	(名)同班同学\r
classroom	/'klɑ:srum/	n.教室,课堂\r
clause	/klɔ:z/	n.(正式文件或法律文件的)条款;从句,分句\r
claw	/klɔ:/	n.爪,脚爪\r
clay	/klei/	n.粘土,泥土\r
clean	/kli:n/	a.清洁的,干净的v.除去..污垢,把...弄干净\r
clear	/kliə/	a./ad.清晰的(地)vt.清除;使清楚vi.变清澈\r
clergy	/'klə:dʒi/	n./总称/牧师,神职人员\r
clerk	/klɑ:k,klə:k/	n.职员,办事员;店员\r
clever	/'klevə/	a.聪明的,伶俐的,机敏的,精巧的\r
click	/klik/	n.滴答声;vi.发出滴答声\r
client	/'klaiənt/	n.律师等的当事人,委托人;商店的顾客\r
cliff	/klif/	n.悬崖;峭壁\r
climate	/'klaimit/	n.气候;风气,社会思潮\r
climax	/'klaimæks/	n.顶点,高潮\r
climb	/klaim/	v./n.攀登,爬\r
cling	/klɪŋ/	v.(to)粘住;依附;坚持\r
clinic	/'klinik/	n.诊所\r
clip	/klip/	v.剪,修剪;钳,夹住n.夹,钳;回形针\r
cloak	/kləuk/	n.斗蓬,披风;掩饰,幌子vt.掩盖,掩饰\r
clock	/klɔk/	n.钟vt.记录(时间、速度等),为…计时\r
clockwise	/'klɔkwaiz/	a.顺时针方向\r
clone	/kləun/	n.无性繁殖,克隆;复制品v.克隆\r
close	/kləuz/	v./n.关;结束a./ad.近的(地);紧密的(地)\r
closet	/'klɔzit/	n.(壁)橱a.私下的vt.把…引进密室会谈\r
cloth	/klɔθ,klɔ:θ/	n.(一块)布,织物,衣料\r
clothe	/kləuð/	v.(给…)穿衣,供给…衣服\r
clothes	/kləuðz/	n.衣服(虽为复数,亦不可数)\r
clothing	/'kləuðiŋ/	n.服装,被褥\r
cloud	/klaud/	n.云(状物);遮暗物,阴影;一大群\r
cloudy	/'klaudi/	a.多云的,阴(天)的;混浊的,模糊的\r
club	/klʌb/	n.俱乐部,夜总会;社团;棍棒,球棒\r
clue	/klu:/	n.线索,暗示\r
clumsy	/'klʌmzi/	a.笨拙的,愚笨的\r
cluster	/'klʌstə/	n.丛,群,串v.群集,丛生\r
clutch	/klʌtʃ/	v.抓住,攫住,掌握n.离合器\r
coach	/kəutʃ/	n.长途公共汽车;教练vt.训练,指导,培训\r
coal	/kəul/	n.煤,煤块\r
coalition	/,kəuə'liʃən/	n.结合体,同盟;结合,联合\r
coarse	/kɔ:s/	a.粗糙的,粗劣的;粗鲁的,粗俗的\r
coast	/kəust/	n.海岸,海滨\r
coat	/kəut/	n.上衣,外套;表皮;层,覆盖物v.涂(盖)上\r
cocaine	/kə'kein/	n.可卡因,古柯碱（用作局部麻醉剂）\r
cock	/kɔk/	n.公鸡,雄鸡;龙头,开关\r
code	/kəud/	n.代码,代号,密码;法典,法规,规划\r
coffee	/'kɔfi/	n.咖啡(色)\r
cognitive	/'kɔɡnitiv/	a.认知的,认识能力的\r
coherent	/kəu'hiərənt/	a.一致的,协调的;(话语等)条理清楚的\r
cohesive	/kəu'hi:siv/	a.粘合性的,有结合力的\r
coil	/kɔil/	v.卷,盘绕n.(一)卷,(一)圈;线圈,绕组\r
coin	/kɔin/	n.硬币,货币v.铸造(硬币),创造(新词)\r
coincide	/,kəuin'said/	vi.同时发生;巧合;一致;相符;\r
coincidence	/kəu'insidəns/	n.巧合;同时发生,共同存在;符合,一致\r
coke	/kəʊk/	n.焦炭;可口可乐（COCA-COLA）的缩写\r
cold	/kəuld/	a.冷的,寒冷的;冷淡的n.冷,寒冷;伤风\r
collaborate	/kə'læbəreit/	vi.协作,合作;(与敌人)勾结\r
collapse	/kə'læps/	v./n.倒塌;崩溃;(价格)暴跌;倒闭,破产\r
collar	/'kɔlə/	n.衣领;环状物\r
colleague	/'kɔli:ɡ/	n.同事,同僚\r
collect	/kə'lekt/	v.收集,搜集;领取,接走;收(税等);聚集,堆积\r
collection	/kə'lekʃən/	n.收藏(品),收集(物)\r
collective	/kə'lektiv/	n.集体a.集体的,共同的\r
college	/'kɔlidʒ/	n.学院,高等专科学校,大学\r
collide	/kə'laid/	vi./with/互撞,碰撞;冲突,抵触\r
collision	/kə'liʒən/	n.碰撞;(利益,意见等的)冲突,抵触\r
colonel	/'kə:nəl/	n.(陆军)上校\r
colonial	/kə'ləunjəl/	a.殖民地的,关于殖民的n.殖民地居民\r
colony	/'kɔləni/	n.殖民地;侨民;聚居区;(动植物的)群体\r
color	/'kʌlə/	n.(=colour)颜色;颜料;肤色v.给…着色\r
column	/'kɔləm/	n.圆柱,柱状物;列;(报刊中的)专栏\r
comb	/kəum/	n.梳子v.梳(理)\r
combat	/'kɔmbæt,kəm'bæt/	v./n.战斗,搏斗,格斗\r
combination	/,kɔmbi'neiʃən/	n.结合,联合;化合;团体;组合数码\r
combine	/kəm'bain/	v.联合;结合;化合n.集团;联合企业\r
come	/kʌm/	v.来;出现于,产生;是,成为;开始,终于\r
comedy	/'kɔmidi/	n.喜剧;喜剧性事件\r
comfort	/'kʌmfət/	n.舒适,安逸;安慰,慰问v.安慰,使舒适\r
comfortable	/'kʌmfətəbl/	a.舒适的,舒服的;感到舒适的,安逸的\r
comic	/'kɔmik/	a.喜剧的,滑稽的n.连环漫画杂志;喜剧演员\r
command	/kə'mɑ:nd/	n./v.命令,指挥,控制n.掌握,运用能力\r
commemorate	/kə'meməreit/	vt.纪念,庆祝\r
commence	/kə'mens/	vt.开始vi.获得学位\r
commend	/kə'mend/	v.称赞,表扬：委托保管;推荐\r
comment	/'kɔment/	n.注释,评论,意见v.(on)注释,评论\r
commerce	/'kɔmə:s/	n.商业,贸易;交际,交往\r
commercial	/kə'mə:ʃəl/	a.商业的;商务的;可获利的n.广告节目\r
commission	/kə'miʃən/	n.委员会;委任,委托(书),代办;佣金,手续费\r
commit	/kə'mit/	v.把…交托给,提交;犯(错误),干(坏事)\r
committee	/kə'miti/	n.委员会,全体委员\r
commodity	/kə'mɔditi/	n.(pl.)日用品;商品;农/矿产品;有用之物\r
common	/'kɔmən/	a.普通的;共同的;一般的;n.公有地\r
commonplace	/'kɔmənpleis/	a.普通的,平庸的n.寻常的事物,平庸的东西\r
commonwealth	/'kɔmənwelθ/	n.共和国,联邦,共同体\r
communicate	/kə'mju:nikeit/	v.传达,传送;交流;通讯,通话\r
communication	/kə,mju:ni'keiʃən/	n.通讯,传达;(pl.)通讯系统;交通(工具)\r
communism	/'kɔmjunizəm/	n.共产主义\r
community	/kə'mju:niti/	n.同一地区的全体居民,社会,社区;共同体\r
commute	/kə'mju:t/	v.乘公交车上下班,乘车(船等)往返于两地\r
compact	/kəm'pækt/	a.紧密的,结实的;简明的v.使紧凑,压缩\r
companion	/kəm'pænjən/	n.同伴,共事者;伴侣\r
company	/'kɔmpəni/	n.公司;陪伴;宾客;连(队),(一)群,队,伙\r
comparable	/'kɔmpərəbl/	a.(with,to)可比较的,比得上的\r
comparative	/kəm'pærətiv/	a.比较的,相当的\r
compare	/kəm'pεə/	vt.(to,with)比较;(to)把…比作vi.相比\r
comparison	/kəm'pærisən/	n.比较,对比,比喻,比拟\r
compartment	/kəm'pɑ:tmənt/	n.卧车包房,(客车车厢内的)隔间;分隔的空间\r
compass	/'kʌmpəs/	n.罗盘,指南针;(pl.)圆规\r
compassion	/kəm'pæʃən/	n.同情;怜悯(for)\r
compatible	/kəm'pætəbl/	a.能和睦相处的,合得来的;兼容的\r
compel	/kəm'pel/	v.强迫,迫使\r
compensate	/'kɔmpenseit/	v.(for)补偿,赔偿\r
compensation	/,kɔmpen'seiʃən/	n.补偿(或赔偿)的款物;补偿,赔偿\r
compete	/kəm'pi:t/	vi.比赛;竞争;对抗\r
competent	/'kɔmpitənt/	a.有能力的,能胜任的;足够的\r
competition	/,kɔmpi'tiʃən/	n.竞争,比赛;角逐,较量;/总称/竞争者\r
competitive	/kəm'petitiv/	a.竞争的;好竞争的;(价格等的)有竞争力的\r
compile	/kəm'pail/	vt.编辑,编制,搜集\r
complain	/kəm'plein/	v.(about,of)抱怨;申诉\r
complaint	/kəm'pleint/	n.抱怨,诉苦,怨言,控告;疾病\r
complement	/'kɔmplimənt/	n.补足物,船上的定员;补语vt.补充,补足\r
complete	/kəm'pli:t/	a.完全的,圆满的v.完成,结束,使完满\r
complex	/'kɔmpleks/	a.复杂的;合成的,综合的n.联合体\r
complicate	/'kɔmplikeit/	v.使..复杂;使..难懂;使（疾病等）恶化;\r
complicated	/'kɔmplikeitid/	a.错综复杂的,麻烦的,难解的\r
complication	/,kɔmpli'keiʃən/	n.复杂,纠纷;并发症\r
compliment	/'kɔmplimənt/	n.(pl.)问候,致意n./v.称赞,恭维\r
comply	/kəm'plai/	v.(with)遵照,照做,应允;顺从,服从\r
component	/kəm'pəunənt/	n.组成部分,成分,元件a.组成的,合成的\r
compose	/kəm'pəuz/	v.组成,构成;(of)由…组成;创作(诗歌等)\r
composite	/'kɔmpəzit/	a.混合成的,综合成的n.合成物,复合材料\r
composition	/,kɔmpə'ziʃən/	n.作品,作文,乐曲;作曲;结构,组成,成分\r
compound	/'kɔmpaund/	n.混合物,化合物a.混合的,化合的;vt.混合\r
comprehend	/,kɔmpri'hend/	vt.理解,领会;包含,包括\r
comprehension	/,kɔmpri'henʃən/	a.理解(力),领悟;包含,包含力\r
comprehensive	/,kɔmpri'hensiv/	a.内容广泛的,总括性的,综合的\r
compress	/kəm'pres,'kɔmpres/	vt.压紧,压缩;(把思想、文字等)浓缩\r
comprise	/kəm'praiz/	vt.包含,包括,由...组成;构成,组成\r
compromise	/'kɔmprəmaiz/	n.妥协,折衷vi.妥协vt.危及,放弃(原则等)\r
compulsory	/kəm'pʌlsəri/	a.必须做的,强制性的,(课程)必修的\r
compute	/kəm'pju:t/	v./n.计算,估计\r
computer	/kəm'pju:tə/	n.计算机,电脑;计算者\r
comrade	/'kɔmrid/	n.同志,同事,同伴,朋友\r
conceal	/kən'si:l/	v.隐藏,隐瞒,隐蔽\r
concede	/kən'si:d/	vt.承认;容许;(比赛结束前)认输;退让\r
conceive	/kən'si:v/	v.(of)设想,构思,想象;以为;怀胎,怀有\r
concentrate	/'kɔnsəntreit/	v.(on)集中,专心;浓缩n.浓缩物\r
concentration	/,kɔnsən'treiʃən/	n.专心,专注;集中,集结;浓度\r
concept	/'kɔnsept/	n.概念,观念,设想\r
concern	/kən'sə:n/	v.涉及,关系到v./n.关心n.(利害)关系\r
concerning	/kən'sə:niŋ/	prep.关于,论及\r
concert	/kən'sə:t,'kɔnsə:t/	n.音乐会,演奏会;一齐,一致\r
concession	/kən'seʃən/	n.让步,妥协;特许(权);\r
concise	/kən'sais/	a.简明的,简洁的\r
conclude	/kən'klu:d/	v.结束,终止;断定,下结论;缔结,议定\r
conclusion	/kən'klu:ʒən/	n.结论,推论;结尾;缔结,议定\r
concrete	/kən'kri:t,'kɔnkri:t/	a.具体的,实质性的n.混凝土v.用混凝土修筑\r
condemn	/kən'dem/	v.谴责,指责;判刑,宣告有罪\r
condense	/kən'dens/	v.(使)冷凝,(使)凝结;浓缩,压缩,简缩\r
condition	/kən'diʃən/	n.条件,状况,环境vt.决定;支配;训练\r
conduct	/'kɔndʌkt,kən'dʌkt/	n.行为,品行v.引导;管理;指挥(乐队);传导\r
conductor	/kən'dʌktə/	n.管理者;(汽车)售票员;领队,指挥;导体\r
confer	/kən'fə:/	v.商讨;授予,颁给(勋衔,学位等)\r
conference	/'kɔnfərəns/	n.(正式)会议;讨论,商谈\r
confess	/kən'fes/	v.供认,承认,坦白,忏悔\r
confidence	/'kɔnfidəns/	n.(in)信任;信心,自信;秘密,机密\r
confident	/'kɔnfidənt/	n.(of,in)确信的,自信的\r
